
==========================================
--- Laplace Known-Covariance Started at 2026-03-31 08:05:12.935097 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 3000 ---
[2026-03-31 08:56:03] Rep 48, p = 6000: Witten [feat = 53, acc = 0.545], Arias [feat = 120, acc = 0.970], IF-PCA [feat = 2534, acc = 0.555]
[2026-03-31 08:56:17] Rep 56, p = 6000: Witten [feat = 123, acc = 0.580], Arias [feat = 120, acc = 0.920], IF-PCA [feat = 2829, acc = 0.525]
[2026-03-31 08:56:23] Rep 50, p = 6000: Witten [feat = 137, acc = 0.550], Arias [feat = 120, acc = 0.945], IF-PCA [feat = 2109, acc = 0.525]
[2026-03-31 08:56:35] Rep 52, p = 6000: Witten [feat = 175, acc = 0.520], Arias [feat = 120, acc = 0.970], IF-PCA [feat = 2749, acc = 0.530]
[2026-03-31 08:56:38] Rep 53, p = 6000: Witten [feat = 98, acc = 0.535], Arias [feat = 120, acc = 0.965], IF-PCA [feat = 2939, acc = 0.530]
[2026-03-31 08:56:52] Rep 54, p = 6000: Witten [feat = 135, acc = 0.550], Arias [feat = 120, acc = 0.955], IF-PCA [feat = 1357, acc = 0.510]
[2026-03-31 08:56:53] Rep 55, p = 6000: Witten [feat = 127, acc = 0.520], Arias [feat = 120, acc = 0.950], IF-PCA [feat = 1884, acc = 0.525]
[2026-03-31 08:57:10] Rep 60, p = 6000: Witten [feat = 311, acc = 0.515], Arias [feat = 120, acc = 0.925], IF-PCA [feat = 2617, acc = 0.505]
[2026-03-31 08:57:11] Rep 51, p = 6000: Witten [feat = 206, acc = 0.545], Arias [feat = 120, acc = 0.925], IF-PCA [feat = 2049, acc = 0.550]
[2026-03-31 08:57:13] Rep 57, p = 6000: Witten [feat = 158, acc = 0.575], Arias [feat = 120, acc = 0.945], IF-PCA [feat = 752, acc = 0.540]
[2026-03-31 08:57:13] Rep 58, p = 6000: Witten [feat = 126, acc = 0.525], Arias [feat = 120, acc = 0.940], IF-PCA [feat = 1314, acc = 0.540]
